Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
93680367,"2025-02-04 15:52:22",buy,0.32,BTCUSD,99856.13000000,97869.72,102506.19000000,"2025-02-04 18:21:55",99044.87000000,0,0,-208.13000000,-811.26,8973
93680327,"2025-02-04 18:04:47",buy,0.52,BTCUSD,99056.19000000,98556.19,0.00000000,"2025-02-04 18:21:39",99014.07000000,0,0,-17.56000000,-42.12,1012
93680144,"2025-02-04 16:25:15",buy,5.2,ETHUSD,2776.32000000,2745.37,0.00000000,"2025-02-04 18:20:47",2815.45000000,0,0,163.10000000,39.13,6932
93680046,"2025-02-04 16:05:55",buy,5.1,US30.cash,44427.60863000,44358.33,44817.04000000,"2025-02-04 18:19:45",44467.46000000,0,0,162.93000000,39.85,8030
93679460,"2025-02-04 17:29:47",buy,10,US100.cash,21574.55000000,21501.97,0.00000000,"2025-02-04 18:16:29",21498.15000000,0,0,-612.58000000,-76.40,2802
93678763,"2025-02-04 16:38:52",buy,5,US100.cash,21562.35000000,21449.23,21727.47000000,"2025-02-04 18:09:56",21526.45000000,0,0,-143.84000000,-35.90,5464
93678456,"2025-02-04 16:53:35",buy,6.2,US30.cash,44470.49000000,44398.01,44646.04000000,"2025-02-04 18:06:10",44508.16000000,0,0,187.08000000,37.67,4355
93678105,"2025-02-04 17:14:54",buy,0.52,BTCUSD,99895.73000000,98927.82,0.00000000,"2025-02-04 18:01:49",98904.87000000,0,0,-412.73000000,-990.86,2815
93675512,"2025-02-04 17:21:58",buy,5.2,ETHUSD,2794.11000000,2774.11,0.00000000,"2025-02-04 17:35:06",2774.05000000,0,0,-83.57000000,-20.06,788
93674908,"2025-02-04 16:48:29",sell,3,US100.cash,21541.05000000,21572.19,21465.36000000,"2025-02-04 17:29:34",21575.05000000,0,0,-81.71000000,-34.00,2465
93673682,"2025-02-04 17:14:40",buy,10.2,ETHUSD,2803.63000000,2783.63,0.00000000,"2025-02-04 17:18:09",2782.84000000,0,0,-169.92000000,-20.79,209
93673137,"2025-02-04 16:53:00",buy,5.2,US100.cash,21538.95000000,21481.42,0.00000000,"2025-02-04 17:13:48",21547.85000000,0,0,37.09000000,8.90,1248
93669430,"2025-02-04 16:24:16",buy,5.1,US100.cash,21514.45000000,21514.96,21781.19000000,"2025-02-04 16:45:28",21549.75000000,0,0,144.30000000,35.30,1272
93669260,"2025-02-04 16:03:11",buy,0.31,BTCUSD,99669.23000000,97614.69,102283.57000000,"2025-02-04 16:44:17",99011.07000000,0,0,-163.55000000,-658.16,2466
93669167,"2025-02-04 16:31:38",buy,10,US100.cash,21535.35000000,21527.51,21664.12000000,"2025-02-04 16:43:47",21550.55000000,0,0,121.84000000,15.20,729
93668976,"2025-02-04 15:51:10",buy,5.1,US30.cash,44365.05176000,44285.64,0.00000000,"2025-02-04 16:42:48",44434.06000000,0,0,282.06000000,69.01,3098
93667797,"2025-02-04 16:23:03",buy,5,ETHUSD,2762.88000000,2650.74,0.00000000,"2025-02-04 16:37:37",2778.65000000,0,0,63.17000000,15.77,874
93667772,"2025-02-04 11:04:43",buy,0.51,BTCUSD,98700.85941000,97718.94,101824.28000000,"2025-02-04 16:37:27",99209.37000000,0,0,207.75000000,508.51,19964
93667560,"2025-02-04 11:14:54",buy,7.1,US100.cash,21411.93732000,21373.2,21796.19000000,"2025-02-04 16:36:11",21531.55000000,0,0,680.46000000,119.61,19277
93663631,"2025-02-04 14:36:35",buy,5.1,ETHUSD,2817.42314000,2770.43,3084.27000000,"2025-02-04 16:16:36",2768.84000000,0,0,-198.88000000,-48.58,6001
93663633,"2025-02-04 15:34:00",buy,5.2,ETHUSD,2828.90000000,2769.17,0.00000000,"2025-02-04 16:16:36",2768.84000000,0,0,-250.68000000,-60.06,2556
93648638,"2025-02-04 13:49:26",buy,5,ETHUSD,2801.14000000,2781.14,2908.62000000,"2025-02-04 15:11:33",2781.30000000,0,0,-79.73000000,-19.84,4927
93644529,"2025-02-04 11:14:54",buy,1,US100.cash,21281.05000000,21285.28,21462.07000000,"2025-02-04 14:36:47",21347.15000000,0,0,53.23000000,66.10,12113
93644390,"2025-02-04 11:15:16",buy,3.1,US30.cash,44298.85935000,44300.43,44626.70000000,"2025-02-04 14:35:28",44365.36000000,0,0,166.02000000,66.50,12012
93643227,"2025-02-04 13:49:26",buy,5,ETHUSD,2801.14000000,2781.14,2903.24000000,"2025-02-04 14:26:16",2818.36000000,0,0,69.35000000,17.22,2210
93642956,"2025-02-04 11:14:54",buy,3,US100.cash,21281.05000000,21285.28,21462.07000000,"2025-02-04 14:24:08",21353.95000000,0,0,176.14000000,72.90,11354
93639039,"2025-02-04 11:59:16",buy,20,ETHUSD,2754.65000000,2748.54,3045.75000000,"2025-02-04 13:45:25",2788.13000000,0,0,539.62000000,33.48,6369
93638090,"2025-02-04 11:15:16",buy,2,US30.cash,44326.44000000,44275.97,44626.70000000,"2025-02-04 13:32:33",44350.76000000,0,0,39.21000000,24.32,8237
93637616,"2025-02-04 11:48:44",buy,0.31,BTCUSD,98807.03000000,98233.5,102365.55000000,"2025-02-04 13:25:26",99187.77000000,0,0,95.17000000,380.74,5802
93637041,"2025-02-04 11:09:15",buy,10,ETHUSD,2731.86000000,2749.97,0.00000000,"2025-02-04 13:16:40",2770.38000000,0,0,310.61000000,38.52,7645
93635018,"2025-02-04 11:15:16",buy,2,US30.cash,44326.44000000,44226.44,44626.70000000,"2025-02-04 12:43:55",44298.26000000,0,0,-45.39000000,-28.18,5319
93602071,"2025-02-03 23:22:52",buy,5,ETHUSD,2887.52000000,2818.32,3122.03000000,"2025-02-04 03:46:12",2817.84000000,0,0,-280.51000000,-69.68,15800
93596982,"2025-02-03 23:22:52",buy,5,ETHUSD,2878.76000000,2818.32,3122.03000000,"2025-02-04 00:23:32",2878.84000000,0,0,0.32000000,0.08,3640
93591325,"2025-02-03 20:49:44",sell,0.51,BTCUSD,101615.70961000,103507.09,98171.37000000,"2025-02-03 21:27:23",101783.23000000,0,0,-68.87000000,-167.52,2259
93589508,"2025-02-03 19:52:38",sell,0.31,BTCUSD,100263.16677000,101754.77,95959.35000000,"2025-02-03 20:54:51",101759.33000000,0,0,-374.04000000,-1496.16,3733
93579544,"2025-02-03 16:44:24",buy,5,ETHUSD,2713.94000000,2673.94,0.00000000,"2025-02-03 18:36:09",2672.84000000,0,0,-165.68000000,-41.10,6705
93578863,"2025-02-03 17:53:07",sell,1,US30.cash,44497.66000000,44497.9,0.00000000,"2025-02-03 18:26:05",44500.24000000,0,0,-2.08000000,-2.58,1978
93578559,"2025-02-03 17:50:16",sell,0.31,BTCUSD,98528.07000000,98733.2,0.00000000,"2025-02-03 18:23:01",98736.13000000,0,0,-52.03000000,-208.06,1965
93577545,"2025-02-03 16:46:06",sell,0.21,BTCUSD,98742.07000000,99742.07,94613.91000000,"2025-02-03 18:06:29",98370.53000000,0,0,62.93000000,371.54,4823
93577430,"2025-02-03 17:54:10",sell,3,US100.cash,21324.85000000,21324.03,0.00000000,"2025-02-03 18:05:19",21274.35000000,0,0,122.21000000,50.50,669
93577414,"2025-02-03 16:44:45",sell,3.1,US100.cash,21320.55000000,21351.53,21096.78000000,"2025-02-03 18:05:06",21273.75000000,0,0,117.02000000,46.80,4821
93577379,"2025-02-03 17:53:07",sell,2,US30.cash,44497.66000000,44497.9,0.00000000,"2025-02-03 18:04:46",44380.74000000,0,0,188.61000000,116.92,699
93576739,"2025-02-03 16:43:37",sell,3.1,US30.cash,44422.33742000,44522.44,44095.11000000,"2025-02-03 17:59:13",44405.74000000,0,0,41.53000000,16.60,4536
93573062,"2025-02-03 16:46:06",sell,0.1,BTCUSD,98742.07000000,99742.07,94613.91000000,"2025-02-03 17:23:49",98672.93000000,0,0,5.56000000,69.14,2263
93568666,"2025-02-03 16:46:55",buy,0.31,BTCUSD,99019.03000000,98519.03,0.00000000,"2025-02-03 16:53:27",98969.17000000,0,0,-12.45000000,-49.86,392
93566802,"2025-02-03 15:46:10",sell,0.21,BTCUSD,95924.29000000,98905.35,0.00000000,"2025-02-03 16:43:39",98911.63000000,0,0,-504.78000000,-2987.34,3449
93566220,"2025-02-03 16:25:10",sell,0.31,BTCUSD,98016.87000000,99516.87,0.00000000,"2025-02-03 16:42:07",98461.33000000,0,0,-111.01000000,-444.46,1017
